location,facilities,
Kuala Lumpur  Bandar Menjalara,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna",", , "
Kuala Lumpur  Bukit Jalil,"Security, Squash Court, Jogging Track, Lift, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Parking, Playground, Tennis Court",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Playground, Minimart, Lift",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Playground, Lift, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Jalan Kuching,Swimming Pool,
Kuala Lumpur  Setapak,"Swimming Pool, Squash Court, Security, Parking, Lift, Tennis Court, Jogging Track, Gymnasium, Playground, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Jalan Kuching,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Lift, Playground, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Kepong,"Swimming Pool, Gymnasium, Squash Court, Security, Parking, Lift, Jogging Track, Tennis Court, Playground, Minimart",
Kuala Lumpur  Jalan Kuching,"Swimming Pool, Gymnasium, Parking, 10",", , "
Kuala Lumpur  Kepong,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Security, Playground, Gymnasium, Swimming Pool, Parking, Minimart, Lift, Sauna, Multipurpose hall, Squash Court, Tennis Court, Barbeque area, Jogging Track, Club house",", , , Near KTM/LRT"
Kuala Lumpur  Jalan Ipoh,"Playground, Lift, Club house, Security, Gymnasium, Jogging Track, Swimming Pool, Parking, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court",", , Near KTM/LRT, "
Kuala Lumpur  Kepong,"Parking, Lift, Security, Gymnasium, Club house, Jogging Track, Sauna, Barbeque area, Tennis Court, Minimart, Squash Court, Multipurpose hall, Playground, Swimming Pool",", "
Kuala Lumpur  Setapak,,
Kuala Lumpur  Kepong,"Parking, Lift, Swimming Pool, Playground, Multipurpose hall, Squash Court, Minimart, Barbeque area, Tennis Court, Jogging Track, Club house, Gymnasium, Sauna, Security",", , Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground",", Near KTM/LRT, "
Kuala Lumpur  KLCC,"Playground, Swimming Pool, Parking, Security, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Tennis Court",", , Near KTM/LRT, "
Kuala Lumpur  Setiawangsa,"Parking, Security, Lift, Swimming Pool, Playground, Club house",
Kuala Lumpur  Gombak,"Swimming Pool, Lift, Security, Parking, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court, Jogging Track, Club house, Playground",", , Near KTM/LRT"
