location,facilities,
Kuala Lumpur  Kepong,"Parking, Security, Lift, Playground, Sauna, Barbeque area, Gymnasium, Swimming Pool, Multipurpose hall, Jogging Track, Squash Court, Tennis Court, Minimart",", , "
Kuala Lumpur  Jalan Ipoh,,
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Gymnasium, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Kepong,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Kepong,"Gymnasium, Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Sauna, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Kepong,"Security, Playground, Parking, Jogging Track, Lift, Multipurpose hall, Gymnasium, Barbeque area, Minimart, Swimming Pool, Tennis Court",", , , Near KTM/LRT"
Kuala Lumpur  Kepong,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Kepong,,
Kuala Lumpur  Setapak,,
Kuala Lumpur  Bukit Bintang,,", , Near KTM/LRT, , "
Kuala Lumpur  Jalan Kuching,,
Kuala Lumpur  Cheras,,
Kuala Lumpur  Bukit Jalil,"Parking, Minimart, Gymnasium, Squash Court, Playground, Security, Swimming Pool",
Kuala Lumpur  Taman Desa,"Playground, Lift",", "
Kuala Lumpur  Setapak,"Gymnasium, Barbeque area, Sauna, Playground, Lift, Parking, Minimart, Swimming Pool, Tennis Court, Squash Court, Jogging Track, Security",
Kuala Lumpur  Wangsa Maju,"Tennis Court, Parking, Security, Playground, Lift, Swimming Pool",", , Near KTM/LRT"
Kuala Lumpur  Sentul,"Parking, Security, Lift, Playground, Minimart, Jogging Track, Multipurpose hall",", Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Security, Playground, Parking, Jogging Track, Lift, Barbeque area, Gymnasium, Multipurpose hall",", "
Kuala Lumpur  Bukit Jalil,"Parking, Playground, Swimming Pool, Barbeque area, Multipurpose hall, Minimart, Tennis Court, Jogging Track, Lift, Sauna, Squash Court, Club house, Security, Gymnasium",", Near KTM/LRT, , , "
Kuala Lumpur  Setapak,"Security, Parking, Minimart, Lift, Playground, Gymnasium, Multipurpose hall",", "
Kuala Lumpur  Ampang,"Parking, Security, Lift, Swimming Pool, Playground, Minimart",", , Near KTM/LRT"
Kuala Lumpur  Kepong,"Sauna, Security, Parking, Swimming Pool",
Kuala Lumpur  KLCC,"Parking, Security, Minimart, Playground, Gymnasium, Barbeque area",", "
Kuala Lumpur  Kepong,"Parking, Lift, Security, Playground, Minimart",Near KTM/LRT
Kuala Lumpur  Sentul,"Parking, Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Club house",", , Near KTM/LRT"
Kuala Lumpur  KLCC,"Lift, Security, Gymnasium, Swimming Pool, Playground, Minimart",", Near KTM/LRT, "
Kuala Lumpur  Old Klang Road,,
Kuala Lumpur  Bukit Jalil,"Swimming Pool, Gymnasium, Minimart, Security, Jogging Track, Parking, Tennis Court, Squash Court, Playground",", , Near KTM/LRT, "
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Bangsar,"Minimart, Squash Court, Sauna, Security, Playground, Swimming Pool, Tennis Court, Gymnasium, Jogging Track, Barbeque area, Parking",
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall, Minimart, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Sri Hartamas,"Gymnasium, Barbeque area, Sauna, Parking, Security, Minimart, Swimming Pool, Lift, Playground, Multipurpose hall, Jogging Track",", , "
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Segambut,"Barbeque area, Security, Gymnasium, Playground, Jogging Track, Sauna, Multipurpose hall, Parking, Swimming Pool",
Kuala Lumpur  Kepong,"Minimart, Gymnasium, Squash Court, Parking, Swimming Pool, Jogging Track, Multipurpose hall, Sauna, Club house, Playground, Tennis Court, Lift, Security",
Kuala Lumpur  Cheras,"Parking, Swimming Pool, Sauna, Security, Playground, Jogging Track, Club house, Barbeque area, Lift, Gymnasium, Multipurpose hall",", , "
Kuala Lumpur  Jalan Ipoh,"Security, Minimart, Club house, Playground, Parking, Swimming Pool, Barbeque area, Lift, Gymnasium",", Near KTM/LRT"
Kuala Lumpur  KLCC,"Parking, Playground, Gymnasium, Club house, Minimart, Barbeque area, Swimming Pool, Security",", , Near KTM/LRT, "
Kuala Lumpur  Pandan Jaya,Minimart,
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court",", , "
Kuala Lumpur  Kepong,,
Kuala Lumpur  Kepong,"Playground, Lift, Security",
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , "
Kuala Lumpur  Wangsa Maju,"Barbeque area, Parking, Minimart, Swimming Pool, Security, Playground",
Kuala Lumpur  Ampang Hilir,"Barbeque area, Sauna, Gymnasium, Swimming Pool, Multipurpose hall, Playground, Security, Parking, Lift",", , , Near KTM/LRT"
Kuala Lumpur  Bukit Jalil,"Gymnasium, Security, Playground, Multipurpose hall, Parking, Lift",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground",", , , Near KTM/LRT"
Kuala Lumpur  KLCC,"Parking, Security, Playground",", , Near KTM/LRT"
Kuala Lumpur  Segambut,"Sauna, Swimming Pool, Gymnasium, Barbeque area, Jogging Track, Playground, Security, Parking",
Kuala Lumpur  Ampang,"Security, Parking, Playground, Lift, Minimart",", "
Kuala Lumpur  Sungai Besi,"Security, Gymnasium, Parking, Swimming Pool, Lift, Multipurpose hall, Playground",
Kuala Lumpur  Kepong,"Jogging Track, Lift, Multipurpose hall, Playground, Squash Court, Barbeque area, Sauna, Security, Minimart, Swimming Pool, Tennis Court, Club house, Parking, Gymnasium",
Kuala Lumpur  Ampang Hilir,"Playground, Jogging Track, Security, Swimming Pool, Multipurpose hall, Minimart, Gymnasium, Barbeque area, Parking",", , Near KTM/LRT"
Kuala Lumpur  KLCC,"Security, Minimart, Swimming Pool, Barbeque area, Parking, Gymnasium",", "
Kuala Lumpur  Mont Kiara,,", , "
Kuala Lumpur  Bukit Jalil,"Gymnasium, Jogging Track, Parking, Swimming Pool, Lift, Minimart, Playground, Sauna, Barbeque area, Security, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Keramat,"Parking, Security, Playground",
Kuala Lumpur  KLCC,"Security, Minimart, Swimming Pool, Barbeque area, Parking, Gymnasium",", , "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Playground, Barbeque area, Minimart, Jogging Track",", Near KTM/LRT"
Kuala Lumpur  Ampang Hilir,"Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium, Barbeque area",", "
Kuala Lumpur  Cheras,"Swimming Pool, Security, Playground, Parking",", , Near KTM/LRT"
Kuala Lumpur  Jalan Ipoh,,
Kuala Lumpur  Old Klang Road,"Jogging Track, Parking, Minimart, Playground, Swimming Pool, Gymnasium, Security, Lift",", , "
Kuala Lumpur  Bangsar South,"Multipurpose hall, Parking, Security, Swimming Pool, Lift",", Near KTM/LRT"
Kuala Lumpur  Kuchai Lama,"Security, Playground, Lift, Parking, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Security, Lift, Minimart",", Near KTM/LRT, "
Kuala Lumpur  Cheras,"Tennis Court, Multipurpose hall, Parking, Security, Swimming Pool, Lift, Playground, Jogging Track, Barbeque area",", , , Near KTM/LRT"
Kuala Lumpur  Taman Desa,"Playground, Gymnasium, Lift, Security, Minimart, Parking, Swimming Pool, Barbeque area, Multipurpose hall",", , "
Kuala Lumpur  Cheras,"Security, Playground, Swimming Pool, Parking, Lift, Tennis Court, Barbeque area, Multipurpose hall, Jogging Track, Gymnasium, Sauna, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Sri Petaling,"Security, Tennis Court, Parking, Swimming Pool, Club house, Gymnasium, Barbeque area, Sauna",", , Near KTM/LRT, "
Kuala Lumpur  KLCC,"Parking, Security, Lift, Swimming Pool, Playground",
Kuala Lumpur  KLCC,"Parking, Security, Lift, Swimming Pool, Playground",
Kuala Lumpur  OUG,"Security, Swimming Pool, Sauna, Parking, Playground, Minimart, Squash Court",", Near KTM/LRT, , "
Kuala Lumpur  OUG,"Security, Swimming Pool, Sauna, Parking, Playground, Minimart, Squash Court",", Near KTM/LRT, , "
Kuala Lumpur  KLCC,"Swimming Pool, Tennis Court, Sauna, Multipurpose hall, Security, Gymnasium, Squash Court, Lift, Parking, Playground, Minimart, Club house, Barbeque area",
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Multipurpose hall, Minimart, Gymnasium, Swimming Pool, Playground, Tennis Court, Barbeque area",
Kuala Lumpur  Setapak,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Jogging Track, Lift, Parking, Minimart, Playground",", , , "
Kuala Lumpur  Old Klang Road,"Security, Lift, Swimming Pool, Playground, Parking, Gymnasium, Minimart, Multipurpose hall",
Kuala Lumpur  Kuchai Lama,"Lift, Security, Parking, Playground, Multipurpose hall, Jogging Track",
Kuala Lumpur  Sungai Besi,"Security, Swimming Pool, Parking, Jogging Track, Barbeque area, Playground, Lift",", "
Kuala Lumpur  Cheras,"Playground, Gymnasium, Barbeque area, Sauna, Multipurpose hall, Security, Club house, Parking, Lift, Swimming Pool, Minimart",", , , Near KTM/LRT"
Kuala Lumpur  Cheras,"Playground, Swimming Pool, Lift, Security, Parking, Sauna, Minimart, Gymnasium",", Near KTM/LRT"
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Ampang Hilir,"Security, Swimming Pool, Gymnasium, Sauna, Parking, Playground, Lift, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  KLCC,"Barbeque area, Security, Swimming Pool, Lift, Playground, Parking, Sauna",", , Near KTM/LRT, "
Kuala Lumpur  Mont Kiara,"Minimart, Jogging Track, Lift, Barbeque area, Swimming Pool, Gymnasium, Playground, Security, Parking, Club house, Sauna",", , "
Kuala Lumpur  Kepong,"Gymnasium, Multipurpose hall, Sauna, Security, Swimming Pool, Jogging Track, Barbeque area, Parking, Lift, Playground, Minimart",
Kuala Lumpur  Old Klang Road,"Security, Gymnasium, Jogging Track, Playground, Swimming Pool, Barbeque area, Parking, Sauna, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",", , , Near KTM/LRT"
Kuala Lumpur  Jalan Sultan Ismail,"Playground, Gymnasium, Swimming Pool, Parking, Squash Court, Lift, Security",", , Near KTM/LRT, , "
Kuala Lumpur  Jalan Ipoh,"Lift, Security, Playground",
Kuala Lumpur  Bandar Menjalara,"Tennis Court, Parking, Security, Playground, Swimming Pool, Minimart, Lift, Multipurpose hall, Barbeque area, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Cheras,"Gymnasium, Multipurpose hall, Security, Swimming Pool, Barbeque area",", "
Kuala Lumpur  Cheras,"Parking, Security, Gymnasium, Jogging Track, Lift, Playground, Barbeque area, Multipurpose hall, Swimming Pool, Sauna, Club house, Tennis Court, Minimart",", , , Near KTM/LRT, "
Kuala Lumpur  Kepong,"Minimart, Playground, Jogging Track, Security, Swimming Pool, Gymnasium, Parking, Lift, Barbeque area",
Kuala Lumpur  Cheras,"Playground, Jogging Track, Lift, Swimming Pool, Multipurpose hall, Parking, Security, Tennis Court, Barbeque area, Gymnasium, Minimart, Squash Court",", , , Near KTM/LRT"
Kuala Lumpur  Bandar Menjalara,"Swimming Pool, Playground, Parking, Security, Lift, Gymnasium, Sauna",", "
Kuala Lumpur  Mont Kiara,"Minimart, Swimming Pool, Playground, Barbeque area, Security, Gymnasium, Sauna, Parking, Lift, Multipurpose hall, Club house",", , "
Kuala Lumpur  Bandar Tasik Selatan,"Security, Lift, Playground, Minimart",
Kuala Lumpur  KL City,"Parking, Security, Lift, Swimming Pool",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Security, Tennis Court, Parking, Swimming Pool, Playground, Minimart, Gymnasium",
Kuala Lumpur  Kepong,"Swimming Pool, Parking, Security, Jogging Track, Minimart, Playground",
Kuala Lumpur  Setapak,"Minimart, Gymnasium, Tennis Court, Jogging Track, Parking, Security, Swimming Pool, Playground, Barbeque area, Sauna",
Kuala Lumpur  Desa Pandan,"Swimming Pool, Gymnasium, Security, Multipurpose hall, Lift, Parking",", "
Kuala Lumpur  Desa Petaling,"Security, Minimart, Parking, Swimming Pool, Gymnasium, Tennis Court, Lift, Playground, Multipurpose hall, Sauna, Barbeque area, Jogging Track",", , , "
Kuala Lumpur  Kepong,"Playground, Minimart, Jogging Track, Lift, Security, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Security, Barbeque area, Playground, Gymnasium, Jogging Track, Swimming Pool, Lift",", Near KTM/LRT, "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Bukit Jalil,"Parking, Security, Lift, Playground, Gymnasium, Multipurpose hall",", , , "
Kuala Lumpur  Cheras,"Playground, Swimming Pool, Gymnasium, Security, Parking, Jogging Track, Sauna, Multipurpose hall, Barbeque area, Lift",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Barbeque area, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Gymnasium, Playground, Security, Minimart, Sauna, Parking, Swimming Pool, Lift",", "
Kuala Lumpur  Taman Melawati,"Security, Parking",
Kuala Lumpur  Cheras,"Parking, Security, Playground, Swimming Pool, Barbeque area, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Barbeque area, Sauna, Club house, Playground, Squash Court, Parking, Gymnasium, Jogging Track, Tennis Court, Security, Swimming Pool, Lift",", "
Kuala Lumpur  Titiwangsa,"Gymnasium, Barbeque area, Swimming Pool, Playground, Security, Jogging Track, Multipurpose hall, Lift, Parking, Minimart, Sauna","Near KTM/LRT, , , "
Kuala Lumpur  Cheras,"Security, Barbeque area, Swimming Pool, Gymnasium, Parking, Playground",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground",", Near KTM/LRT, "
Kuala Lumpur  Bukit Bintang,"Gymnasium, Parking, Security, Playground, Swimming Pool, Barbeque area, Lift",", Near KTM/LRT, "
Kuala Lumpur  Brickfields,"Lift, Security, Minimart, Multipurpose hall",", , , Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Minimart, Jogging Track, Gymnasium, Tennis Court, Lift, Playground, Swimming Pool, Squash Court",
Kuala Lumpur  Cheras,"Swimming Pool, Jogging Track, Lift, Parking, Security, Playground, Gymnasium, Barbeque area, Sauna, Multipurpose hall",
Kuala Lumpur  Sri Petaling,"Parking, Security, Lift",", "
Kuala Lumpur  Jalan Ipoh,"Gymnasium, Playground, Jogging Track, Barbeque area, Multipurpose hall, Security, Swimming Pool, Parking",
Kuala Lumpur  Cheras,"Swimming Pool, Security, Playground, Parking, Gymnasium, Lift, Minimart, Barbeque area, Jogging Track, Multipurpose hall, Club house",", , Near KTM/LRT"
Kuala Lumpur  Segambut,,
Kuala Lumpur  Old Klang Road,"Sauna, Playground, Gymnasium, Security, Swimming Pool, Multipurpose hall, Parking, Lift, Barbeque area, Minimart, Club house, Jogging Track",", , , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Gymnasium, Multipurpose hall, Sauna, Barbeque area",
Kuala Lumpur  Cheras,"Security, Playground, Gymnasium, Swimming Pool, Barbeque area, Tennis Court, Squash Court, Sauna, Parking",", "
Kuala Lumpur  Desa Pandan,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Sauna, Gymnasium, Multipurpose hall, Club house, Jogging Track",", , , "
Kuala Lumpur  Bukit Jalil,"Club house, Minimart, Barbeque area, Lift, Sauna, Multipurpose hall, Playground, Squash Court, Swimming Pool, Parking, Security, Tennis Court, Jogging Track, Gymnasium",
Kuala Lumpur  Setapak,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house",Near KTM/LRT
Kuala Lumpur  Kepong,"Parking, Multipurpose hall, Barbeque area, Security, Swimming Pool, Gymnasium, Playground, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart",
Kuala Lumpur  Sungai Besi,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall",", "
Kuala Lumpur  Bukit Jalil,,
Kuala Lumpur  Kepong,"Parking, Security, Lift, Playground, Multipurpose hall, Tennis Court, Jogging Track, Minimart, Barbeque area",", "
Kuala Lumpur  Kepong,"Jogging Track, Security, Parking, Swimming Pool, Minimart",", Near KTM/LRT"
Kuala Lumpur  Setapak,,
Kuala Lumpur  Desa Pandan,"Parking, Security",", "
Kuala Lumpur  Solaris Dutamas,"Parking, Security, Swimming Pool, Lift, Playground, Barbeque area, Sauna, Gymnasium, Multipurpose hall, Tennis Court, Jogging Track, Club house",", , "
Kuala Lumpur  Ampang,"Minimart, Gymnasium, Playground, Squash Court, Sauna, Parking, Security, Swimming Pool, Jogging Track, Lift",
Kuala Lumpur  Desa Petaling,"Swimming Pool, Playground, Tennis Court, Parking, Gymnasium, Security, Lift, Minimart",", "
Kuala Lumpur  Pandan Perdana,"Minimart, Playground, Squash Court, Parking, Security, Jogging Track, Swimming Pool, Gymnasium, Tennis Court, Lift",", "
Kuala Lumpur  KLCC,"Playground, Parking, Minimart, Swimming Pool, Gymnasium, Jogging Track, Security, Lift, Sauna",", , Near KTM/LRT, "
Kuala Lumpur  Ampang,"Minimart, Gymnasium, Playground, Squash Court, Sauna, Parking, Security, Swimming Pool, Jogging Track, Lift",
Kuala Lumpur  Wangsa Maju,Parking,", , Near KTM/LRT"
Kuala Lumpur  City Centre,"Parking, Playground, Swimming Pool, Barbeque area, Jogging Track, Gymnasium, Squash Court, Lift, Security, Minimart, Club house",", , , Near KTM/LRT, "
Kuala Lumpur  Desa Petaling,"Gymnasium, Jogging Track, Barbeque area, Swimming Pool, Tennis Court, Security, Minimart, Playground, Parking, Lift",
Kuala Lumpur  Bukit Jalil,"Multipurpose hall, Parking, Playground, Security, Gymnasium",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Playground, Jogging Track, Lift, Parking, Barbeque area, Swimming Pool, Gymnasium, Security",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Swimming Pool, Squash Court, Jogging Track, Lift, Security, Tennis Court, Minimart, Playground, Gymnasium",
Kuala Lumpur  Bukit Jalil,"Minimart, Playground, Parking, Security, Lift, Jogging Track, Tennis Court",Near KTM/LRT
Kuala Lumpur  Setapak,,
Kuala Lumpur  Setapak,"Playground, Gymnasium, Security, Tennis Court, Barbeque area, Multipurpose hall, Parking, Minimart, Swimming Pool",
Kuala Lumpur  Setapak,"Parking, Playground, Security",
Kuala Lumpur  Old Klang Road,"Parking, Swimming Pool, Gymnasium, Tennis Court, Playground, Security",", "
Kuala Lumpur  KL City,,
Kuala Lumpur  Kuchai Lama,"Security, Gymnasium, Lift, Playground, Parking, Swimming Pool, Barbeque area, Minimart, Club house, Jogging Track",", , , Near KTM/LRT, "
Kuala Lumpur  Bukit Jalil,"Jogging Track, Security, Parking, Minimart, Lift, Playground",
Kuala Lumpur  Bukit Jalil,"Parking, Multipurpose hall, Security, Gymnasium, Playground, Lift, Swimming Pool",
Kuala Lumpur  Taman Desa,"Minimart, Tennis Court, Gymnasium, Parking, Security, Sauna, Playground, Swimming Pool, Squash Court, Lift, Multipurpose hall",", , "
Kuala Lumpur  Kepong,"Parking, Security, Lift, Playground, Barbeque area, Minimart, Multipurpose hall",", , Near KTM/LRT"
Kuala Lumpur  Sentul,"Swimming Pool, Sauna, Security, Minimart, Squash Court, Parking, Playground, Lift, Gymnasium",", "
Kuala Lumpur  Pandan Jaya,Parking,", "
Kuala Lumpur  Cheras,"Playground, Jogging Track, Lift, Parking, Barbeque area, Swimming Pool, Gymnasium, Security",", , Near KTM/LRT"
Kuala Lumpur  Bangsar South,,
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Jalan Kuching,"Tennis Court, Sauna, Gymnasium, Minimart, Swimming Pool, Playground, Parking, Security, Lift, Barbeque area, Multipurpose hall, Jogging Track",", , , Near KTM/LRT"
Kuala Lumpur  Sentul,"Multipurpose hall, Security, Swimming Pool, Minimart, Playground, Jogging Track, Parking",
Kuala Lumpur  Bukit Jalil,"Swimming Pool, Gymnasium, Tennis Court, Playground, Barbeque area, Sauna, Club house, Parking, Jogging Track, Multipurpose hall, Squash Court, Minimart, Lift, Security",", , Near KTM/LRT, , "
Kuala Lumpur  Kepong,,
Kuala Lumpur  Kepong,"Parking, Lift, Security, Playground, Gymnasium, Club house, Swimming Pool, Tennis Court, Jogging Track, Barbeque area, Multipurpose hall, Minimart, Squash Court, Sauna",", , "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall",", "
Kuala Lumpur  Sri Petaling,"Parking, Security, Playground, Barbeque area, Swimming Pool, Multipurpose hall, Lift, Sauna, Club house, Gymnasium, Jogging Track, Tennis Court, Minimart, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Taman Desa,"Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift, Parking, Playground, Sauna, Barbeque area, Multipurpose hall, Tennis Court, Jogging Track, Club house",", , Near KTM/LRT, , "
Kuala Lumpur  Sungai Besi,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Old Klang Road,"Lift, Swimming Pool, Playground, Security, Parking, Gymnasium, Minimart, Jogging Track",
Kuala Lumpur  Kepong,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall",", , "
Kuala Lumpur  Cheras,"Tennis Court, Security, Barbeque area, Parking, Playground, Lift, Swimming Pool, Jogging Track, Multipurpose hall, Gymnasium, Minimart",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Minimart, Barbeque area, Gymnasium, Multipurpose hall, Swimming Pool, Playground, Parking, Security, Lift, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Brickfields,"Parking, Security, Lift, Swimming Pool, Playground, Minimart",", , Near KTM/LRT, , "
Kuala Lumpur  Mont Kiara,"Gymnasium, Playground, Swimming Pool, Tennis Court, Squash Court, Parking, Security, Lift, Sauna, Barbeque area, Minimart, Multipurpose hall",", , "
Kuala Lumpur  Cheras,"Playground, Gymnasium, Parking, Swimming Pool, Security, Barbeque area, Lift, Minimart, Multipurpose hall, Jogging Track",", "
Kuala Lumpur  Ampang,"Swimming Pool, Jogging Track, Security, Playground, Barbeque area, Sauna, Multipurpose hall, Gymnasium",
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Playground, Gymnasium, Parking, Security, Swimming Pool, Lift, Barbeque area, Minimart, Multipurpose hall, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Sungai Besi,"Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Sauna, Parking, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Wangsa Maju,"Parking, Security, Playground, Gymnasium, Minimart, Swimming Pool",", "
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",", "
Kuala Lumpur  Sungai Besi,"Barbeque area, Multipurpose hall, Security, Playground, Swimming Pool, Jogging Track","Near KTM/LRT, , "
Kuala Lumpur  Taman Desa,"Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Lift, Parking, Playground, Sauna, Barbeque area, Multipurpose hall, Tennis Court, Jogging Track, Club house",", Near KTM/LRT, , , "
Kuala Lumpur  Seputeh,"Playground, Parking, Security, Jogging Track",
Kuala Lumpur  Mont Kiara,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Jogging Track, Multipurpose hall",", , , Near KTM/LRT, "
Kuala Lumpur  Taman Melawati,"Swimming Pool, Security, Parking",
Kuala Lumpur  Setiawangsa,,
Kuala Lumpur  Sentul,"Parking, Security, Playground, Multipurpose hall, Gymnasium, Sauna, Barbeque area, Swimming Pool, Lift, Minimart",
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Barbeque area, Minimart, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Kepong,"Parking, Security, Lift, Swimming Pool, Playground",
Kuala Lumpur  Kuchai Lama,"Jogging Track, Sauna, Multipurpose hall, Swimming Pool, Security, Playground, Gymnasium, Parking, Lift, Barbeque area, Minimart, Tennis Court, Squash Court, Club house",", , Near KTM/LRT, , "
